stop,line,destination,url,station_id
Arret Strassen Aurelia Quai 1,11,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-aurelia-quai-1,8009119
Arret Strassen Aurelia Quai 1,16,"SENNINGERBERG, Aéroport",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-aurelia-quai-1,8009119
Arret Strassen Aurelia Quai 2,11,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-aurelia-quai-2,8008102
Arret Strassen Aurelia Quai 2,16,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-aurelia-quai-2,8008102
Arret Strassen Barble Quai 1,8,"LIMPERTSBERG, Lycée Michel Lucius",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-barble-quai-1,8011203
Arret Strassen Barble Quai 1,11,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-barble-quai-1,8011203
Arret Strassen Barble Quai 1,16,"SENNINGERBERG, Aéroport",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-barble-quai-1,8011203
Arret Strassen Barble Quai 2,11,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-barble-quai-2,8010168
Arret Strassen Barble Quai 2,16,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-barble-quai-2,8010168
Arret Strassen Benelux Quai 1,8,"LIMPERTSBERG, Lycée Michel Lucius",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-benelux-quai-1,8009155
Arret Strassen Benelux Quai 1,11,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-benelux-quai-1,8009155
Arret Strassen Benelux Quai 1,16,"SENNINGERBERG, Aéroport",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-benelux-quai-1,8009155
Arret Strassen Benelux Quai 2,11,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-benelux-quai-2,8008128
Arret Strassen Benelux Quai 2,16,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-benelux-quai-2,8008128
Arret Strassen Bourmicht Quai 1,10,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-bourmicht-quai-1,8070011
Arret Strassen Bourmicht Quai 2,10,"BERTRANGE, Belle Étoile",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-bourmicht-quai-2,8070012
Arret Strassen Chapelle,8,"BERTRANGE, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-chapelle,8041132
Arret Strassen Cite Pescher Quai 1,31,"CENTRE, Badanstalt",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-cite-pescher-quai-1,2410281
Arret Strassen Cite Pescher Quai 2,31,"RECKENTHAL, Oricher Hoehl",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-cite-pescher-quai-2,2410282
Arret Strassen Geesseneck Quai 1,8,"LIMPERTSBERG, Lycée Michel Lucius",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-geesseneck-quai-1,8011305
Arret Strassen Geesseneck Quai 1,11,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-geesseneck-quai-1,8011305
Arret Strassen Geesseneck Quai 1,16,"SENNINGERBERG, Aéroport",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-geesseneck-quai-1,8011305
Arret Strassen Geesseneck Quai 2,11,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-geesseneck-quai-2,8010224
Arret Strassen Geesseneck Quai 2,16,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-geesseneck-quai-2,8010224
