stop,line,destination,url,station_id
Arret Rumm Quai 2,15,"HOLLERICH, P+R Bouillon",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-2,1831159
Arret Rumm Quai 2,23,"EICH, Centre culturel",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-2,1831159
Arret Rumm Quai 2,83,"CLAUSEN, Clausener Bréck",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-2,1831159
Arret Ruppert Quai 1,29,"CLOCHE D'OR, Guillaume Kroll",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-ruppert-quai-1,1882004
Arret Ruppert Quai 1,20,"CLOCHE D'OR, Guillaume Kroll",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-ruppert-quai-1,1882004
Arret Ruppert Quai 2,29,"SENNINGERBERG, Charlys Statioun",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-ruppert-quai-2,1882003
Arret Ruppert Quai 2,20,"HOLLERICH, P+R Bouillon",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-ruppert-quai-2,1882003
Arret Sacre Coeur Quai 1,13,"BELAIR, Centre Hospitalier",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-sacre-coeur-quai-1,1420052
Arret Sacre Coeur Quai 2,13,"KOHLENBERG, Boy Konen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-sacre-coeur-quai-2,1420063
Arret Salzhaff Schluechthaus Quai 1,15,"HAMM, Ierzkaulen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-salzhaff-schluechthaus-quai-1,1924047
Arret Salzhaff Schluechthaus Quai 2,15,"HOLLERICH, P+R Bouillon",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-salzhaff-schluechthaus-quai-2,1111005
Arret Salzhaff Schluechthaus Quai 3,10,"BERTRANGE, Belle Étoile",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-salzhaff-schluechthaus-quai-3,1471112
